t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,140,6.047025880247093,0.0,0.0,0.0,events/second
1775392260,140,2.6303209864682175,0.0,0.0,0.0,events/second
1775392290,140,1.6815846830293528,0.0,0.0,0.0,events/second
1775392320,140,1.2357005002899413,0.0,0.0,0.0,events/second
1775392350,140,0.9768480788375233,0.0,0.0,0.0,events/second
1775392380,140,0.8074994639313872,0.0,0.0,0.0,events/second
1775392410,140,0.6877514661915601,0.0,0.0,0.0,events/second
1775392440,140,0.599171823336249,0.0,0.0,0.0,events/second
1775392470,140,0.5309013603592342,0.0,0.0,0.0,events/second
1775392500,140,0.47653074750912316,0.0,0.0,0.0,events/second
1775392530,140,0.4323025214854515,0.0,0.0,0.0,events/second
1775392561,140,0.3956225637228719,0.0,0.0,0.0,events/second
1775392591,140,0.36468205741977183,0.0,0.0,0.0,events/second
1775392621,140,0.33820770550616996,0.0,0.0,0.0,events/second
1775392651,140,0.31533435810152455,0.0,0.0,0.0,events/second
1775392681,140,0.29536509759664736,0.0,0.0,0.0,events/second
1775392711,140,0.277771812517877,0.0,0.0,0.0,events/second
1775392741,140,0.26215116733673427,0.0,0.0,0.0,events/second
1775392771,140,0.248139090814004,0.0,0.0,0.0,events/second
1775392801,140,0.23560212874412628,0.0,0.0,0.0,events/second
1775392831,140,0.22427197077942806,0.0,0.0,0.0,events/second
1775392861,140,0.21398359761311325,0.0,0.0,0.0,events/second
1775392891,140,0.2045975778476367,0.0,0.0,0.0,events/second
1775392921,140,0.19599974118234179,0.0,0.0,0.0,events/second
1775392951,140,0.1880959171294962,0.0,0.0,0.0,events/second
1775392981,140,0.18079935101277436,0.0,0.0,0.0,events/second
1775393011,140,0.17404941238201965,0.0,0.0,0.0,events/second
1775393041,140,0.16778624529667632,0.0,0.0,0.0,events/second
1775393071,140,0.16195548890559675,0.0,0.0,0.0,events/second
1775393101,140,0.15651476383319704,0.0,0.0,0.0,events/second
1775393131,140,0.15143156791069873,0.0,0.0,0.0,events/second
1775393161,140,0.14667036978200373,0.0,0.0,0.0,events/second
1775393191,140,0.14219812434396958,0.0,0.0,0.0,events/second
1775393221,140,0.13799073996265182,0.0,0.0,0.0,events/second
1775393251,140,0.1340237523922578,0.0,0.0,0.0,events/second
1775393281,140,0.13027739174053435,0.0,0.0,0.0,events/second
1775393311,140,0.1267363770011697,0.0,0.0,0.0,events/second
1775393341,140,0.12338299966926604,0.0,0.0,0.0,events/second
1775393371,140,0.1202017171297816,0.0,0.0,0.0,events/second
1775393401,140,0.11718114224950296,0.0,0.0,0.0,events/second
1775393431,140,0.1143094639104588,0.0,0.0,0.0,events/second
1775393461,140,0.11157536241545006,0.0,0.0,0.0,events/second
1775393491,140,0.10896882261275165,0.0,0.0,0.0,events/second
1775393521,140,0.10647700020432563,0.0,0.0,0.0,events/second
1775393552,140,0.10410026776703592,0.0,0.0,0.0,events/second
1775393582,140,0.1018215767494912,0.0,0.0,0.0,events/second
1775393612,140,0.099646647017993,0.0,0.0,0.0,events/second
1775393642,140,0.09756278999210033,0.0,0.0,0.0,events/second
1775393672,140,0.0955632290632056,0.0,0.0,0.0,events/second
1775393702,140,0.09364429716431479,0.0,0.0,0.0,events/second
1775393732,140,0.09180096411834093,0.0,0.0,0.0,events/second
1775393762,140,0.09002921820144227,0.0,0.0,0.0,events/second
1775393792,140,0.08832040030479546,0.0,0.0,0.0,events/second
1775393822,140,0.08667936093461041,0.0,0.0,0.0,events/second
1775393852,140,0.08509824806213807,0.0,0.0,0.0,events/second
1775393882,140,0.08357301984888556,0.0,0.0,0.0,events/second
1775393912,140,0.08210154339635493,0.0,0.0,0.0,events/second
1775393942,140,0.08068016656025054,0.0,0.0,0.0,events/second
1775393972,140,0.07930860201461068,0.0,0.0,0.0,events/second
1775394002,140,0.07798254579787565,0.0,0.0,0.0,events/second
1775394032,140,0.0767004838126431,0.0,0.0,0.0,events/second
1775394062,140,0.07545942814577795,0.0,0.0,0.0,events/second
1775394092,140,0.07425834240246756,0.0,0.0,0.0,events/second
1775394122,140,0.07309473369155296,0.0,0.0,0.0,events/second
1775394152,140,0.07196652573942736,0.0,0.0,0.0,events/second
1775394182,140,0.07087255117356216,0.0,0.0,0.0,events/second
1775394212,140,0.06981188196378017,0.0,0.0,0.0,events/second
1775394242,140,0.06878248750294276,0.0,0.0,0.0,events/second
1775394272,140,0.06778280750552104,0.0,0.0,0.0,events/second
1775394302,140,0.06681171269650729,0.0,0.0,0.0,events/second
1775394332,140,0.06586803515213119,0.0,0.0,0.0,events/second
1775394362,140,0.06495072286128992,0.0,0.0,0.0,events/second
1775394392,140,0.06405888103169406,0.0,0.0,0.0,events/second
1775394422,140,0.06319056957787382,0.0,0.0,0.0,events/second
1775394452,140,0.062346100018708064,0.0,0.0,0.0,events/second
1775394482,140,0.06152352704977672,0.0,0.0,0.0,events/second
1775394512,140,0.06072249881548383,0.0,0.0,0.0,events/second
1775394542,140,0.0599417377774801,0.0,0.0,0.0,events/second
1775394572,140,0.05918131642593915,0.0,0.0,0.0,events/second
1775394602,140,0.0584399181745471,0.0,0.0,0.0,events/second
1775394632,140,0.05771644891074807,0.0,0.0,0.0,events/second
1775394662,140,0.05701047352252728,0.0,0.0,0.0,events/second
1775394692,140,0.05632172692965918,0.0,0.0,0.0,events/second
1775394722,140,0.05564959473835123,0.0,0.0,0.0,events/second
1775394752,140,0.05499358366604939,0.0,0.0,0.0,events/second
1775394782,140,0.05435269178170212,0.0,0.0,0.0,events/second
1775394812,140,0.053726606905378796,0.0,0.0,0.0,events/second
1775394842,140,0.053114683690655466,0.0,0.0,0.0,events/second
