t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,141,6.091277824114689,0.0,0.0,0.0,events/second
1775392260,141,2.649383815331409,0.0,0.0,0.0,events/second
1775392290,141,1.6937106308000018,0.0,0.0,0.0,events/second
1775392320,141,1.244587900686998,0.0,0.0,0.0,events/second
1775392350,141,0.9838641334876322,0.0,0.0,0.0,events/second
1775392380,141,0.8132927942829462,0.0,0.0,0.0,events/second
1775392410,141,0.692682847637442,0.0,0.0,0.0,events/second
1775392440,141,0.6034633470234115,0.0,0.0,0.0,events/second
1775392470,141,0.5347050303757623,0.0,0.0,0.0,events/second
1775392500,141,0.4799436074838922,0.0,0.0,0.0,events/second
1775392530,141,0.43539799939559964,0.0,0.0,0.0,events/second
1775392561,141,0.39845482902305546,0.0,0.0,0.0,events/second
1775392591,141,0.36729236914507,0.0,0.0,0.0,events/second
1775392621,141,0.34062811446959884,0.0,0.0,0.0,events/second
1775392651,141,0.3175908124253881,0.0,0.0,0.0,events/second
1775392681,141,0.2974784137821842,0.0,0.0,0.0,events/second
1775392711,141,0.27975904067321816,0.0,0.0,0.0,events/second
1775392741,141,0.26402648757765246,0.0,0.0,0.0,events/second
1775392771,141,0.2499140319215019,0.0,0.0,0.0,events/second
1775392801,141,0.23728727065131172,0.0,0.0,0.0,events/second
1775392831,141,0.2258759732764406,0.0,0.0,0.0,events/second
1775392861,141,0.21551392246358678,0.0,0.0,0.0,events/second
1775392891,141,0.20606068621923157,0.0,0.0,0.0,events/second
1775392921,141,0.1974013110289631,0.0,0.0,0.0,events/second
1775392951,141,0.1894409101439111,0.0,0.0,0.0,events/second
1775392981,141,0.18209211405646356,0.0,0.0,0.0,events/second
1775393011,141,0.17529386047070836,0.0,0.0,0.0,events/second
1775393041,141,0.1689858701359686,0.0,0.0,0.0,events/second
1775393071,141,0.16311337971888618,0.0,0.0,0.0,events/second
1775393101,141,0.15763372943716114,0.0,0.0,0.0,events/second
1775393131,141,0.15251415754771078,0.0,0.0,0.0,events/second
1775393161,141,0.14771889535275753,0.0,0.0,0.0,events/second
1775393191,141,0.14321465429994312,0.0,0.0,0.0,events/second
1775393221,141,0.1389771653307305,0.0,0.0,0.0,events/second
1775393251,141,0.1349818012552709,0.0,0.0,0.0,events/second
1775393281,141,0.1312086403548091,0.0,0.0,0.0,events/second
1775393311,141,0.12764229563048993,0.0,0.0,0.0,events/second
1775393341,141,0.1242649297781288,0.0,0.0,0.0,events/second
1775393371,141,0.12106089165486643,0.0,0.0,0.0,events/second
1775393401,141,0.11801870251435216,0.0,0.0,0.0,events/second
1775393431,141,0.11512649565760127,0.0,0.0,0.0,events/second
1775393461,141,0.11237283883580061,0.0,0.0,0.0,events/second
1775393491,141,0.10974765787496087,0.0,0.0,0.0,events/second
1775393521,141,0.10723799810806617,0.0,0.0,0.0,events/second
1775393552,141,0.1048442840970108,0.0,0.0,0.0,events/second
1775393582,141,0.10254929456531912,0.0,0.0,0.0,events/second
1775393612,141,0.10035881572090556,0.0,0.0,0.0,events/second
1775393642,141,0.09826005726244352,0.0,0.0,0.0,events/second
1775393672,141,0.09624619777390565,0.0,0.0,0.0,events/second
1775393702,141,0.09431354376663435,0.0,0.0,0.0,events/second
1775393732,141,0.09245702736692857,0.0,0.0,0.0,events/second
1775393762,141,0.09067261654391606,0.0,0.0,0.0,events/second
1775393792,141,0.08895157757557054,0.0,0.0,0.0,events/second
1775393822,141,0.08729880736624729,0.0,0.0,0.0,events/second
1775393852,141,0.08570638963410482,0.0,0.0,0.0,events/second
1775393882,141,0.08417025436983451,0.0,0.0,0.0,events/second
1775393912,141,0.08268825924908332,0.0,0.0,0.0,events/second
1775393942,141,0.08125671777091745,0.0,0.0,0.0,events/second
1775393972,141,0.07987534952061504,0.0,0.0,0.0,events/second
1775394002,141,0.07853981192014758,0.0,0.0,0.0,events/second
1775394032,141,0.07724858574094583,0.0,0.0,0.0,events/second
1775394062,141,0.07599865736977347,0.0,0.0,0.0,events/second
1775394092,141,0.07478898487222989,0.0,0.0,0.0,events/second
1775394122,141,0.07361705040624161,0.0,0.0,0.0,events/second
1775394152,141,0.07248078430056425,0.0,0.0,0.0,events/second
1775394182,141,0.07137898788446305,0.0,0.0,0.0,events/second
1775394212,141,0.07031073760222431,0.0,0.0,0.0,events/second
1775394242,141,0.06927398460085388,0.0,0.0,0.0,events/second
1775394272,141,0.06826715889112558,0.0,0.0,0.0,events/second
1775394302,141,0.06728912163848853,0.0,0.0,0.0,events/second
1775394332,141,0.06633869901951546,0.0,0.0,0.0,events/second
1775394362,141,0.06541482887333304,0.0,0.0,0.0,events/second
1775394392,141,0.06451661283748164,0.0,0.0,0.0,events/second
1775394422,141,0.06364209430084967,0.0,0.0,0.0,events/second
1775394452,141,0.06279158857303516,0.0,0.0,0.0,events/second
1775394482,141,0.061963136223817356,0.0,0.0,0.0,events/second
1775394512,141,0.0611563822380021,0.0,0.0,0.0,events/second
1775394542,141,0.06037004045962776,0.0,0.0,0.0,events/second
1775394572,141,0.0596041837627036,0.0,0.0,0.0,events/second
1775394602,141,0.05885748611500371,0.0,0.0,0.0,events/second
1775394632,141,0.058128845525447885,0.0,0.0,0.0,events/second
1775394662,141,0.05741782447708584,0.0,0.0,0.0,events/second
1775394692,141,0.056724155046407265,0.0,0.0,0.0,events/second
1775394722,141,0.05604721893416829,0.0,0.0,0.0,events/second
1775394752,141,0.05538651792365302,0.0,0.0,0.0,events/second
1775394782,141,0.054741046411336064,0.0,0.0,0.0,events/second
1775394812,141,0.054110486696903076,0.0,0.0,0.0,events/second
1775394842,141,0.05349418951643103,0.0,0.0,0.0,events/second
