t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,2,0.08634141946053397,0.0,0.0,0.0,events/second
1775392260,2,0.037572540082028816,0.0,0.0,0.0,events/second
1775392290,2,0.02402113891932804,0.0,0.0,0.0,events/second
1775392320,2,0.017652101359146227,0.0,0.0,0.0,events/second
1775392350,2,0.01395450366283673,0.0,0.0,0.0,events/second
1775392380,2,0.011535366890127428,0.0,0.0,0.0,events/second
1775392410,2,0.009824765357364105,0.0,0.0,0.0,events/second
1775392440,11,0.04707639983307599,0.0,0.0,0.0,events/second
1775392470,11,0.04171293525486483,0.0,0.0,0.0,events/second
1775392500,11,0.03744108018469378,0.0,0.0,0.0,events/second
1775392530,11,0.03396613116759418,0.0,0.0,0.0,events/second
1775392561,11,0.031084216156839314,0.0,0.0,0.0,events/second
1775392591,11,0.028653239471944064,0.0,0.0,0.0,events/second
1775392621,11,0.026573155969164333,0.0,0.0,0.0,events/second
1775392651,11,0.024776009172469606,0.0,0.0,0.0,events/second
1775392681,11,0.02320702738494211,0.0,0.0,0.0,events/second
1775392711,11,0.021824724073946943,0.0,0.0,0.0,events/second
1775392741,11,0.020597410954951646,0.0,0.0,0.0,events/second
1775392771,11,0.01949648083389829,0.0,0.0,0.0,events/second
1775392801,11,0.018511449391779313,0.0,0.0,0.0,events/second
1775392831,11,0.017621236968185367,0.0,0.0,0.0,events/second
1775392861,11,0.01681287599875501,0.0,0.0,0.0,events/second
1775392891,11,0.01607541235245552,0.0,0.0,0.0,events/second
1775392921,11,0.01539987742775559,0.0,0.0,0.0,events/second
1775392951,11,0.014778872122103362,0.0,0.0,0.0,events/second
1775392981,11,0.014205577450124211,0.0,0.0,0.0,events/second
1775393011,11,0.013675231019699377,0.0,0.0,0.0,events/second
1775393041,11,0.013183130798859476,0.0,0.0,0.0,events/second
1775393071,11,0.012725003778542378,0.0,0.0,0.0,events/second
1775393101,11,0.012297524226200982,0.0,0.0,0.0,events/second
1775393131,11,0.011898134074929003,0.0,0.0,0.0,events/second
1775393161,11,0.011524043809266457,0.0,0.0,0.0,events/second
1775393191,11,0.01117265675280058,0.0,0.0,0.0,events/second
1775393221,11,0.010842079348471713,0.0,0.0,0.0,events/second
1775393251,11,0.010530390607253824,0.0,0.0,0.0,events/second
1775393281,11,0.010236036263721196,0.0,0.0,0.0,events/second
1775393311,11,0.009957816099255598,0.0,0.0,0.0,events/second
1775393341,11,0.009694338450760944,0.0,0.0,0.0,events/second
1775393371,11,0.00944438259084561,0.0,0.0,0.0,events/second
1775393401,11,0.009207052774513462,0.0,0.0,0.0,events/second
1775393431,11,0.008981423604310802,0.0,0.0,0.0,events/second
1775393461,11,0.008766602863346965,0.0,0.0,0.0,events/second
1775393491,11,0.008561804901239183,0.0,0.0,0.0,events/second
1775393521,11,0.00836601863039154,0.0,0.0,0.0,events/second
