t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,3,0.12953075033243205,0.0,0.0,0.0,events/second
1775392260,3,0.05636427783352633,0.0,0.0,0.0,events/second
1775392290,3,0.03603393117833121,0.0,0.0,0.0,events/second
1775392320,3,0.0264793710376887,0.0,0.0,0.0,events/second
1775392350,3,0.020932518423227544,0.0,0.0,0.0,events/second
1775392380,3,0.01730355393316434,0.0,0.0,0.0,events/second
1775392410,7,0.03438676224839266,0.0,0.0,0.0,events/second
1775392440,14,0.05991642645418779,0.0,0.0,0.0,events/second
1775392470,14,0.05309024994635979,0.0,0.0,0.0,events/second
1775392500,14,0.04765313022375634,0.0,0.0,0.0,events/second
1775392530,14,0.04323032377919473,0.0,0.0,0.0,events/second
1775392561,14,0.039562317045159855,0.0,0.0,0.0,events/second
1775392591,14,0.03646825892025694,0.0,0.0,0.0,events/second
1775392621,14,0.0338208076847531,0.0,0.0,0.0,events/second
1775392651,14,0.03153347641550653,0.0,0.0,0.0,events/second
1775392681,14,0.02953654388321858,0.0,0.0,0.0,events/second
1775392711,14,0.027777211651749827,0.0,0.0,0.0,events/second
1775392741,14,0.026215145199849837,0.0,0.0,0.0,events/second
1775392771,14,0.024813934453903872,0.0,0.0,0.0,events/second
1775392801,14,0.0235602350262352,0.0,0.0,0.0,events/second
1775392831,15,0.02402916217953234,0.0,0.0,0.0,events/second
1775392861,15,0.02292683330691961,0.0,0.0,0.0,events/second
1775392891,15,0.021921184525223687,0.0,0.0,0.0,events/second
1775392921,15,0.020999987269387718,0.0,0.0,0.0,events/second
1775392951,15,0.020153150050835334,0.0,0.0,0.0,events/second
1775392981,15,0.01937137368683652,0.0,0.0,0.0,events/second
1775393011,18,0.022377796367336455,0.0,0.0,0.0,events/second
1775393041,18,0.021572531797946926,0.0,0.0,0.0,events/second
1775393071,18,0.020822858688296662,0.0,0.0,0.0,events/second
1775393101,18,0.020123339973127367,0.0,0.0,0.0,events/second
1775393131,18,0.019469784886264503,0.0,0.0,0.0,events/second
1775393161,18,0.018857629480247155,0.0,0.0,0.0,events/second
1775393191,18,0.018282627058325344,0.0,0.0,0.0,events/second
1775393221,18,0.017741676532496756,0.0,0.0,0.0,events/second
1775393251,18,0.017231635134278948,0.0,0.0,0.0,events/second
1775393281,18,0.016749959625152876,0.0,0.0,0.0,events/second
1775393311,18,0.016294685864060472,0.0,0.0,0.0,events/second
1775393341,18,0.01586353645453496,0.0,0.0,0.0,events/second
1775393371,18,0.01545451407665232,0.0,0.0,0.0,events/second
1775393401,18,0.015066152706874817,0.0,0.0,0.0,events/second
1775393431,18,0.01469693819379814,0.0,0.0,0.0,events/second
1775393461,18,0.01434541029013332,0.0,0.0,0.0,events/second
1775393491,18,0.014010283646579915,0.0,0.0,0.0,events/second
1775393521,18,0.013689899404682815,0.0,0.0,0.0,events/second
1775393552,18,0.0133843251942219,0.0,0.0,0.0,events/second
1775393582,18,0.013091349941880359,0.0,0.0,0.0,events/second
1775393612,18,0.012811717155103696,0.0,0.0,0.0,events/second
1775393642,21,0.014634421465527505,0.0,0.0,0.0,events/second
1775393672,21,0.014334490170580944,0.0,0.0,0.0,events/second
1775393702,21,0.014046649916064736,0.0,0.0,0.0,events/second
1775393732,21,0.013770148568103999,0.0,0.0,0.0,events/second
1775393762,21,0.013504387956374308,0.0,0.0,0.0,events/second
1775393792,21,0.013248064176917476,0.0,0.0,0.0,events/second
1775393822,21,0.013001908973399387,0.0,0.0,0.0,events/second
1775393852,21,0.012764741849966513,0.0,0.0,0.0,events/second
1775393882,21,0.012535956776625147,0.0,0.0,0.0,events/second
1775393912,21,0.012315235808072105,0.0,0.0,0.0,events/second
1775393942,21,0.012102027920192705,0.0,0.0,0.0,events/second
1775393972,21,0.0118962941711272,0.0,0.0,0.0,events/second
1775394002,21,0.01169738523371469,0.0,0.0,0.0,events/second
1775394032,21,0.011505076376494726,0.0,0.0,0.0,events/second
1775394062,21,0.011318917837230687,0.0,0.0,0.0,events/second
1775394092,21,0.01113875483024538,0.0,0.0,0.0,events/second
1775394122,21,0.010964210736089995,0.0,0.0,0.0,events/second
1775394152,21,0.010794980129443615,0.0,0.0,0.0,events/second
1775394182,21,0.010630885069814312,0.0,0.0,0.0,events/second
1775394212,21,0.010471785300769783,0.0,0.0,0.0,events/second
1775394242,21,0.010317376046177766,0.0,0.0,0.0,events/second
1775394272,24,0.01161991325783944,0.0,0.0,0.0,events/second
1775394302,24,0.011453439634111532,0.0,0.0,0.0,events/second
1775394332,24,0.011291666348510244,0.0,0.0,0.0,events/second
1775394362,24,0.011134411965129064,0.0,0.0,0.0,events/second
1775394392,24,0.010981525500034199,0.0,0.0,0.0,events/second
1775394422,24,0.010832671891215152,0.0,0.0,0.0,events/second
1775394452,26,0.011578564507247516,0.0,0.0,0.0,events/second
1775394482,26,0.011425800980706908,0.0,0.0,0.0,events/second
1775394512,26,0.011277038436369333,0.0,0.0,0.0,events/second
1775394542,26,0.011132039894627625,0.0,0.0,0.0,events/second
1775394572,26,0.010990818694392852,0.0,0.0,0.0,events/second
1775394602,26,0.010853130314442799,0.0,0.0,0.0,events/second
1775394632,26,0.010718771622538679,0.0,0.0,0.0,events/second
1775394662,26,0.010587661952341119,0.0,0.0,0.0,events/second
1775394692,26,0.010459746337173883,0.0,0.0,0.0,events/second
1775394722,26,0.010334927224989946,0.0,0.0,0.0,events/second
1775394752,26,0.0102130963078864,0.0,0.0,0.0,events/second
1775394782,26,0.010094073643405447,0.0,0.0,0.0,events/second
1775394812,26,0.009977800714700861,0.0,0.0,0.0,events/second
1775394842,26,0.009864157527502618,0.0,0.0,0.0,events/second
