t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,3,0.1295154492892231,0.0,0.0,0.0,events/second
1775392260,3,0.056365097917457495,0.0,0.0,0.0,events/second
1775392290,3,0.03603426328013585,0.0,0.0,0.0,events/second
1775392320,3,0.02647955476549312,0.0,0.0,0.0,events/second
1775392350,3,0.020932637518600156,0.0,0.0,0.0,events/second
1775392380,3,0.017303615592496806,0.0,0.0,0.0,events/second
1775392410,7,0.03438487794958383,0.0,0.0,0.0,events/second
1775392440,14,0.05991651487035178,0.0,0.0,0.0,events/second
1775392470,14,0.05309029605022786,0.0,0.0,0.0,events/second
1775392500,14,0.047653246408964865,0.0,0.0,0.0,events/second
1775392530,14,0.043230412550269486,0.0,0.0,0.0,events/second
1775392561,14,0.03956241084419969,0.0,0.0,0.0,events/second
1775392591,14,0.03646833987541357,0.0,0.0,0.0,events/second
1775392621,14,0.033820872712581926,0.0,0.0,0.0,events/second
1775392651,14,0.031533537668209814,0.0,0.0,0.0,events/second
1775392681,14,0.02953659673874013,0.0,0.0,0.0,events/second
1775392711,14,0.02777725916422419,0.0,0.0,0.0,events/second
1775392741,14,0.02621518764151685,0.0,0.0,0.0,events/second
1775392771,14,0.024813972444585906,0.0,0.0,0.0,events/second
1775392801,14,0.023560268632695287,0.0,0.0,0.0,events/second
1775392831,15,0.024029195495595176,0.0,0.0,0.0,events/second
1775392861,15,0.02292686300560031,0.0,0.0,0.0,events/second
1775392891,15,0.021921211678876614,0.0,0.0,0.0,events/second
1775392921,15,0.021000012144727024,0.0,0.0,0.0,events/second
1775392951,15,0.020153173531716632,0.0,0.0,0.0,events/second
1775392981,15,0.019371395266244037,0.0,0.0,0.0,events/second
1775393011,18,0.022377810221864674,0.0,0.0,0.0,events/second
1775393041,18,0.021572551997788417,0.0,0.0,0.0,events/second
1775393071,18,0.02082287787955343,0.0,0.0,0.0,events/second
1775393101,18,0.020123359493928742,0.0,0.0,0.0,events/second
1775393131,18,0.019469803104928223,0.0,0.0,0.0,events/second
1775393161,18,0.018857646170233493,0.0,0.0,0.0,events/second
1775393191,18,0.018282643148977436,0.0,0.0,0.0,events/second
1775393221,18,0.01774169171302683,0.0,0.0,0.0,events/second
1775393251,18,0.017231649256575544,0.0,0.0,0.0,events/second
1775393281,18,0.016749973135741697,0.0,0.0,0.0,events/second
1775393311,18,0.01629469869443178,0.0,0.0,0.0,events/second
1775393341,18,0.01586354844015949,0.0,0.0,0.0,events/second
1775393371,18,0.015454525461462962,0.0,0.0,0.0,events/second
1775393401,18,0.015066163517862191,0.0,0.0,0.0,events/second
1775393431,18,0.014696948621805168,0.0,0.0,0.0,events/second
1775393461,18,0.014345420100644607,0.0,0.0,0.0,events/second
1775393491,18,0.01401029309131285,0.0,0.0,0.0,events/second
1775393521,18,0.013689904567922436,0.0,0.0,0.0,events/second
1775393552,18,0.01338433375712707,0.0,0.0,0.0,events/second
1775393582,18,0.013091357494181785,0.0,0.0,0.0,events/second
1775393612,18,0.01281172506483745,0.0,0.0,0.0,events/second
1775393642,21,0.014634430267767387,0.0,0.0,0.0,events/second
1775393672,21,0.01433449516760243,0.0,0.0,0.0,events/second
1775393702,21,0.014046657909877117,0.0,0.0,0.0,events/second
1775393732,21,0.01377015529318992,0.0,0.0,0.0,events/second
1775393762,21,0.013504395527276319,0.0,0.0,0.0,events/second
1775393792,21,0.0132480709976207,0.0,0.0,0.0,events/second
1775393822,21,0.01300191598332811,0.0,0.0,0.0,events/second
1775393852,21,0.012764748600284943,0.0,0.0,0.0,events/second
1775393882,21,0.012535957718029823,0.0,0.0,0.0,events/second
1775393912,21,0.012315242105785268,0.0,0.0,0.0,events/second
1775393942,21,0.012102033475876349,0.0,0.0,0.0,events/second
1775393972,21,0.011896299935785257,0.0,0.0,0.0,events/second
1775394002,21,0.011697390307459898,0.0,0.0,0.0,events/second
1775394032,21,0.011505081872240091,0.0,0.0,0.0,events/second
1775394062,21,0.011318923009535742,0.0,0.0,0.0,events/second
1775394092,21,0.011138759976275824,0.0,0.0,0.0,events/second
1775394122,21,0.010964215597313977,0.0,0.0,0.0,events/second
