t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,1,0.005079115314595072,0.0,0.0,0.0,events/second
1775392440,1,0.004405969039780749,0.0,0.0,0.0,events/second
1775392470,1,0.0038909417447816766,0.0,0.0,0.0,events/second
1775392500,1,0.0034831710358032707,0.0,0.0,0.0,events/second
1775392530,1,0.0031530641072140477,0.0,0.0,0.0,events/second
1775392561,1,0.002880377120448701,0.0,0.0,0.0,events/second
1775392591,1,0.0026511125813751418,0.0,0.0,0.0,events/second
1775392621,1,0.00245548748999891,0.0,0.0,0.0,events/second
1775392651,1,0.002286878694824578,0.0,0.0,0.0,events/second
1775392681,1,0.002139981506480979,0.0,0.0,0.0,events/second
1775392711,11,0.022118775982319136,0.0,0.0,0.0,events/second
1775392741,11,0.020859128596936068,0.0,0.0,0.0,events/second
1775392771,11,0.01973080930057278,0.0,0.0,0.0,events/second
1775392801,11,0.0187225685244757,0.0,0.0,0.0,events/second
1775392831,11,0.01781243517164219,0.0,0.0,0.0,events/second
1775392861,11,0.01698684667708804,0.0,0.0,0.0,events/second
1775392891,11,0.016234383358357595,0.0,0.0,0.0,events/second
1775392921,11,0.01554570790672969,0.0,0.0,0.0,events/second
1775392951,11,0.014913128409759118,0.0,0.0,0.0,events/second
1775392981,11,0.01432957590792893,0.0,0.0,0.0,events/second
1775393011,11,0.013790099070719422,0.0,0.0,0.0,events/second
1775393041,11,0.013289853284404185,0.0,0.0,0.0,events/second
1775393071,11,0.012824408207601527,0.0,0.0,0.0,events/second
1775393101,11,0.012390340872103887,0.0,0.0,0.0,events/second
1775393131,11,0.011984998383189397,0.0,0.0,0.0,events/second
1775393161,11,0.011605511978536187,0.0,0.0,0.0,events/second
1775393191,11,0.011249216983295533,0.0,0.0,0.0,events/second
1775393221,11,0.010914161528595846,0.0,0.0,0.0,events/second
1775393251,11,0.010598374716248424,0.0,0.0,0.0,events/second
1775393281,11,0.010300261353063426,0.0,0.0,0.0,events/second
1775393311,11,0.010018586967989091,0.0,0.0,0.0,events/second
1775393341,11,0.009751926339898877,0.0,0.0,0.0,events/second
1775393371,11,0.009499030806848859,0.0,0.0,0.0,events/second
1775393401,11,0.00925898140174777,0.0,0.0,0.0,events/second
1775393431,11,0.009030831645346314,0.0,0.0,0.0,events/second
1775393461,11,0.008813669278329809,0.0,0.0,0.0,events/second
1775393491,11,0.008606692062384425,0.0,0.0,0.0,events/second
1775393521,11,0.008408866043920807,0.0,0.0,0.0,events/second
1775393552,11,0.008220234244708231,0.0,0.0,0.0,events/second
1775393582,11,0.008039415310946834,0.0,0.0,0.0,events/second
1775393612,11,0.007866872467340195,0.0,0.0,0.0,events/second
1775393642,11,0.0077015838488172315,0.0,0.0,0.0,events/second
1775393672,11,0.007543013838926663,0.0,0.0,0.0,events/second
1775393702,11,0.0073908686044149895,0.0,0.0,0.0,events/second
1775393732,11,0.007244740431382441,0.0,0.0,0.0,events/second
1775393762,11,0.007104315237627561,0.0,0.0,0.0,events/second
1775393792,11,0.006968897341272161,0.0,0.0,0.0,events/second
1775393822,11,0.006838873446706429,0.0,0.0,0.0,events/second
1775393852,11,0.006713616156688459,0.0,0.0,0.0,events/second
1775393882,11,0.006592800619266126,0.0,0.0,0.0,events/second
1775393912,11,0.006476266519491445,0.0,0.0,0.0,events/second
1775393942,11,0.0063637111473927276,0.0,0.0,0.0,events/second
1775393972,11,0.006255116951508805,0.0,0.0,0.0,events/second
1775394002,11,0.006150137985348472,0.0,0.0,0.0,events/second
1775394032,11,0.006048655928377858,0.0,0.0,0.0,events/second
1775394062,11,0.0059504307486120105,0.0,0.0,0.0,events/second
1775394092,11,0.0058553803753991895,0.0,0.0,0.0,events/second
1775394122,11,0.005763304674675433,0.0,0.0,0.0,events/second
1775394152,11,0.005674035950775967,0.0,0.0,0.0,events/second
1775394182,11,0.005587497077185993,0.0,0.0,0.0,events/second
1775394212,11,0.0055035954683745345,0.0,0.0,0.0,events/second
1775394242,11,0.005422175852133623,0.0,0.0,0.0,events/second
1775394272,11,0.005343114029856772,0.0,0.0,0.0,events/second
1775394302,11,0.00526632020587487,0.0,0.0,0.0,events/second
1775394332,11,0.005191701393193083,0.0,0.0,0.0,events/second
1775394362,11,0.005119173206721118,0.0,0.0,0.0,events/second
1775394392,11,0.005048666121853356,0.0,0.0,0.0,events/second
1775394422,11,0.004980024253929621,0.0,0.0,0.0,events/second
1775394452,11,0.004913272984485654,0.0,0.0,0.0,events/second
1775394482,11,0.004848257867743171,0.0,0.0,0.0,events/second
1775394512,11,0.004784950249960718,0.0,0.0,0.0,events/second
1775394542,11,0.004723249170116769,0.0,0.0,0.0,events/second
1775394572,11,0.004663159804456965,0.0,0.0,0.0,events/second
1775394602,11,0.004604578011530327,0.0,0.0,0.0,events/second
1775394632,11,0.004547416840756555,0.0,0.0,0.0,events/second
1775394662,11,0.004491641815771222,0.0,0.0,0.0,events/second
1775394692,11,0.004437227451762241,0.0,0.0,0.0,events/second
1775394722,11,0.004384137144004215,0.0,0.0,0.0,events/second
1775394752,11,0.004332319469476893,0.0,0.0,0.0,events/second
1775394782,11,0.0042816993332467496,0.0,0.0,0.0,events/second
1775394812,11,0.004232251579815082,0.0,0.0,0.0,events/second
1775394842,11,0.004183925052111796,0.0,0.0,0.0,events/second
