t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,2,0.010158150425668304,0.0,0.0,0.0,events/second
1775392440,10,0.04405940476320462,0.0,0.0,0.0,events/second
1775392470,10,0.03890920846427979,0.0,0.0,0.0,events/second
1775392500,10,0.03483144304514211,0.0,0.0,0.0,events/second
1775392530,10,0.03153050288154176,0.0,0.0,0.0,events/second
1775392561,10,0.02880365831346942,0.0,0.0,0.0,events/second
1775392591,10,0.026511030480904856,0.0,0.0,0.0,events/second
1775392621,10,0.02455479135664626,0.0,0.0,0.0,events/second
1775392651,11,0.025155587859761817,0.0,0.0,0.0,events/second
1775392681,11,0.02353972808704549,0.0,0.0,0.0,events/second
1775392711,20,0.04021584559367862,0.0,0.0,0.0,events/second
1775392741,20,0.037925589341770566,0.0,0.0,0.0,events/second
1775392771,20,0.03587411173015524,0.0,0.0,0.0,events/second
1775392801,20,0.0340409549585142,0.0,0.0,0.0,events/second
1775392831,20,0.03238617464822157,0.0,0.0,0.0,events/second
1775392861,20,0.030885111016790215,0.0,0.0,0.0,events/second
1775392891,20,0.029517001458486257,0.0,0.0,0.0,events/second
1775392921,20,0.028264869181229706,0.0,0.0,0.0,events/second
1775392951,20,0.027114729322223398,0.0,0.0,0.0,events/second
1775392981,20,0.026053728559189925,0.0,0.0,0.0,events/second
1775393011,20,0.025072864700282946,0.0,0.0,0.0,events/second
1775393041,20,0.02416332997508353,0.0,0.0,0.0,events/second
1775393071,20,0.02331706820345686,0.0,0.0,0.0,events/second
1775393101,20,0.022527858321873685,0.0,0.0,0.0,events/second
1775393131,20,0.02179087414446822,0.0,0.0,0.0,events/second
1775393161,20,0.021100900597610432,0.0,0.0,0.0,events/second
1775393191,20,0.020453093533827998,0.0,0.0,0.0,events/second
1775393221,20,0.019843903517057518,0.0,0.0,0.0,events/second
1775393251,20,0.019269747199000445,0.0,0.0,0.0,events/second
1775393281,20,0.018727724226485016,0.0,0.0,0.0,events/second
1775393311,20,0.01821559029027126,0.0,0.0,0.0,events/second
1775393341,20,0.017730753361199413,0.0,0.0,0.0,events/second
1775393371,20,0.017270944894492747,0.0,0.0,0.0,events/second
1775393401,20,0.016834492453330317,0.0,0.0,0.0,events/second
1775393431,20,0.01641967573187799,0.0,0.0,0.0,events/second
1775393461,20,0.016024835034220662,0.0,0.0,0.0,events/second
1775393491,20,0.01564851439786764,0.0,0.0,0.0,events/second
1775393521,20,0.015288831135105041,0.0,0.0,0.0,events/second
1775393552,20,0.014945865306521365,0.0,0.0,0.0,events/second
1775393582,20,0.0146171035858668,0.0,0.0,0.0,events/second
1775393612,20,0.014303390686667621,0.0,0.0,0.0,events/second
1775393642,20,0.014002866499495522,0.0,0.0,0.0,events/second
1775393672,20,0.013714557178192907,0.0,0.0,0.0,events/second
1775393702,20,0.01343793067753147,0.0,0.0,0.0,events/second
1775393732,20,0.013172243146911504,0.0,0.0,0.0,events/second
1775393762,20,0.012916925550191197,0.0,0.0,0.0,events/second
1775393792,20,0.012670711127333275,0.0,0.0,0.0,events/second
1775393822,20,0.012434304935248493,0.0,0.0,0.0,events/second
1775393852,20,0.01220656457315898,0.0,0.0,0.0,events/second
1775393882,20,0.01198690035496587,0.0,0.0,0.0,events/second
1775393912,20,0.011775020690346609,0.0,0.0,0.0,events/second
1775393942,20,0.011570374667736081,0.0,0.0,0.0,events/second
1775393972,20,0.011372931134573258,0.0,0.0,0.0,events/second
1775394002,20,0.011182060494751367,0.0,0.0,0.0,events/second
1775394032,20,0.010997548081038814,0.0,0.0,0.0,events/second
1775394062,20,0.01081895710187415,0.0,0.0,0.0,events/second
1775394092,20,0.010646138502483709,0.0,0.0,0.0,events/second
1775394122,20,0.010478728334575034,0.0,0.0,0.0,events/second
1775394152,20,0.010316420506810565,0.0,0.0,0.0,events/second
1775394182,20,0.010159078628414543,0.0,0.0,0.0,events/second
1775394212,20,0.010006530420856485,0.0,0.0,0.0,events/second
1775394242,20,0.009858494521040203,0.0,0.0,0.0,events/second
1775394272,20,0.009714746403131502,0.0,0.0,0.0,events/second
1775394302,20,0.009575121468068739,0.0,0.0,0.0,events/second
1775394332,20,0.009439451065397139,0.0,0.0,0.0,events/second
1775394362,20,0.00930758170742078,0.0,0.0,0.0,events/second
1775394392,20,0.00917938727214705,0.0,0.0,0.0,events/second
1775394422,20,0.009054583996029224,0.0,0.0,0.0,events/second
1775394452,20,0.008933218222688347,0.0,0.0,0.0,events/second
1775394482,20,0.008815008840035091,0.0,0.0,0.0,events/second
1775394512,20,0.008699904439823337,0.0,0.0,0.0,events/second
1775394542,20,0.008587720790216713,0.0,0.0,0.0,events/second
1775394572,20,0.00847846749977117,0.0,0.0,0.0,events/second
1775394602,20,0.008371955282902204,0.0,0.0,0.0,events/second
1775394632,20,0.008268025993958211,0.0,0.0,0.0,events/second
1775394662,20,0.008166616989734404,0.0,0.0,0.0,events/second
1775394692,20,0.00806768187536369,0.0,0.0,0.0,events/second
1775394722,20,0.00797115399716161,0.0,0.0,0.0,events/second
1775394752,20,0.007876940308973348,0.0,0.0,0.0,events/second
1775394782,20,0.007784903777809453,0.0,0.0,0.0,events/second
1775394812,20,0.007694998856266735,0.0,0.0,0.0,events/second
1775394842,20,0.007607132439128796,0.0,0.0,0.0,events/second
