t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,6,0.0304740613551038,0.0,0.0,0.0,events/second
1775392440,83,0.3656989423613398,0.0,0.0,0.0,events/second
1775392470,95,0.36964336502311324,0.0,0.0,0.0,events/second
1775392500,99,0.34483534350075234,0.0,0.0,0.0,events/second
1775392530,107,0.33738073317551603,0.0,0.0,0.0,events/second
1775392561,111,0.31972438011759413,0.0,0.0,0.0,events/second
1775392591,115,0.3048801586934418,0.0,0.0,0.0,events/second
1775392621,119,0.2922049396778507,0.0,0.0,0.0,events/second
1775392651,127,0.2904354226265507,0.0,0.0,0.0,events/second
1775392681,133,0.28461920802257645,0.0,0.0,0.0,events/second
1775392711,222,0.446399567754918,0.0,0.0,0.0,events/second
1775392741,230,0.43614767142775884,0.0,0.0,0.0,events/second
1775392771,234,0.4197301983110353,0.0,0.0,0.0,events/second
1775392801,238,0.4050901901965045,0.0,0.0,0.0,events/second
1775392831,254,0.41130715316461924,0.0,0.0,0.0,events/second
1775392861,258,0.39842045321824804,0.0,0.0,0.0,events/second
1775392891,262,0.3866750581293854,0.0,0.0,0.0,events/second
1775392921,266,0.3759249359939251,0.0,0.0,0.0,events/second
1775392951,270,0.36605088481891057,0.0,0.0,0.0,events/second
1775392981,274,0.3569379910661774,0.0,0.0,0.0,events/second
1775393011,279,0.3497682606189543,0.0,0.0,0.0,events/second
1775393041,283,0.34191281293054315,0.0,0.0,0.0,events/second
1775393071,287,0.3346015178159775,0.0,0.0,0.0,events/second
1775393101,291,0.3277814336252324,0.0,0.0,0.0,events/second
1775393131,295,0.3214168321029246,0.0,0.0,0.0,events/second
1775393161,299,0.315459828214462,0.0,0.0,0.0,events/second
1775393191,299,0.3057750324738581,0.0,0.0,0.0,events/second
1775393221,303,0.30063636401648414,0.0,0.0,0.0,events/second
1775393251,307,0.29579179013636236,0.0,0.0,0.0,events/second
1775393281,311,0.2912172319124891,0.0,0.0,0.0,events/second
1775393311,315,0.2868966204642541,0.0,0.0,0.0,events/second
1775393341,320,0.2836930848726234,0.0,0.0,0.0,events/second
1775393371,324,0.27979029901197977,0.0,0.0,0.0,events/second
1775393401,328,0.2760866301213948,0.0,0.0,0.0,events/second
1775393431,332,0.2725675362989411,0.0,0.0,0.0,events/second
1775393461,336,0.26921811334766227,0.0,0.0,0.0,events/second
1775393491,340,0.2660255993666039,0.0,0.0,0.0,events/second
1775393521,344,0.2629687141949152,0.0,0.0,0.0,events/second
1775393552,348,0.26005885392521016,0.0,0.0,0.0,events/second
1775393582,352,0.2572617881315492,0.0,0.0,0.0,events/second
1775393612,356,0.25460110212840753,0.0,0.0,0.0,events/second
1775393642,361,0.2527524664656725,0.0,0.0,0.0,events/second
1775393672,365,0.25029135894225535,0.0,0.0,0.0,events/second
1775393702,369,0.2479305043932072,0.0,0.0,0.0,events/second
1775393732,373,0.2456629908723219,0.0,0.0,0.0,events/second
1775393762,377,0.24348469258778038,0.0,0.0,0.0,events/second
1775393792,381,0.24137767101709137,0.0,0.0,0.0,events/second
1775393822,385,0.23936098087164617,0.0,0.0,0.0,events/second
1775393852,389,0.23741827522443484,0.0,0.0,0.0,events/second
1775393882,393,0.23554316874586897,0.0,0.0,0.0,events/second
1775393912,397,0.23373472625937725,0.0,0.0,0.0,events/second
1775393942,402,0.23256507969070536,0.0,0.0,0.0,events/second
1775393972,406,0.23087104020442878,0.0,0.0,0.0,events/second
1775394002,410,0.22923276405419346,0.0,0.0,0.0,events/second
1775394032,414,0.2276497597400437,0.0,0.0,0.0,events/second
1775394062,418,0.22611670608007617,0.0,0.0,0.0,events/second
1775394092,422,0.22463401381666523,0.0,0.0,0.0,events/second
1775394122,425,0.22267345561832255,0.0,0.0,0.0,events/second
1775394152,426,0.21974018889500996,0.0,0.0,0.0,events/second
1775394182,430,0.21842064631704458,0.0,0.0,0.0,events/second
1775394212,434,0.21714215659680164,0.0,0.0,0.0,events/second
1775394242,438,0.21590146245068625,0.0,0.0,0.0,events/second
1775394272,443,0.21518206221601943,0.0,0.0,0.0,events/second
1775394302,447,0.2140043857104166,0.0,0.0,0.0,events/second
1775394332,451,0.21286003433166728,0.0,0.0,0.0,events/second
1775394362,455,0.21174788651038365,0.0,0.0,0.0,events/second
1775394392,459,0.21066733528140089,0.0,0.0,0.0,events/second
1775394422,463,0.20961400882869072,0.0,0.0,0.0,events/second
1775394452,616,0.27514362615203836,0.0,0.0,0.0,events/second
1775394482,2958,1.3037421699541587,0.0,0.0,0.0,events/second
1775394512,2966,1.290198134295477,0.0,0.0,0.0,events/second
1775394542,2970,1.2752787875460623,0.0,0.0,0.0,events/second
1775394572,2979,1.2628699330289257,0.0,0.0,0.0,events/second
1775394602,2987,1.2503494595927975,0.0,0.0,0.0,events/second
1775394632,2991,1.2364842351970913,0.0,0.0,0.0,events/second
1775394662,2995,1.2229529464712139,0.0,0.0,0.0,events/second
1775394692,2999,1.2097509015984544,0.0,0.0,0.0,events/second
1775394722,3003,1.1968707323280834,0.0,0.0,0.0,events/second
1775394752,3007,1.184299892167179,0.0,0.0,0.0,events/second
1775394782,3016,1.1739653651961135,0.0,0.0,0.0,events/second
1775394812,3020,1.1619466601036945,0.0,0.0,0.0,events/second
1775394842,3024,1.1501995498353108,0.0,0.0,0.0,events/second
