t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,5,0.025395169160977726,0.0,0.0,0.0,events/second
1775392440,83,0.3656995633472752,0.0,0.0,0.0,events/second
1775392470,95,0.3696452340721889,0.0,0.0,0.0,events/second
1775392500,99,0.34483537869373004,0.0,0.0,0.0,events/second
1775392530,107,0.3373821222810135,0.0,0.0,0.0,events/second
1775392561,111,0.31972558286198427,0.0,0.0,0.0,events/second
1775392591,115,0.30488121842974036,0.0,0.0,0.0,events/second
1775392621,119,0.2922058209266699,0.0,0.0,0.0,events/second
1775392651,127,0.2904362962445483,0.0,0.0,0.0,events/second
1775392681,133,0.2846200042186377,0.0,0.0,0.0,events/second
1775392711,222,0.446400748313398,0.0,0.0,0.0,events/second
1775392741,230,0.4361487611704164,0.0,0.0,0.0,events/second
1775392771,234,0.41973118684210664,0.0,0.0,0.0,events/second
1775392801,238,0.4050910919794176,0.0,0.0,0.0,events/second
1775392831,254,0.4113080302049246,0.0,0.0,0.0,events/second
1775392861,258,0.3984212587272885,0.0,0.0,0.0,events/second
1775392891,262,0.3866758054905617,0.0,0.0,0.0,events/second
1775392921,266,0.3759256261765349,0.0,0.0,0.0,events/second
1775392951,270,0.36605153831012155,0.0,0.0,0.0,events/second
1775392981,274,0.35693860349339307,0.0,0.0,0.0,events/second
1775393011,279,0.34976881627039597,0.0,0.0,0.0,events/second
1775393041,283,0.34191335432669895,0.0,0.0,0.0,events/second
1775393071,287,0.3346020190538712,0.0,0.0,0.0,events/second
1775393101,291,0.32778191666589696,0.0,0.0,0.0,events/second
1775393131,295,0.3214172826699165,0.0,0.0,0.0,events/second
1775393161,299,0.3154602639838358,0.0,0.0,0.0,events/second
1775393191,299,0.30577544427375747,0.0,0.0,0.0,events/second
1775393221,303,0.30063675752270574,0.0,0.0,0.0,events/second
1775393251,307,0.29579216618481213,0.0,0.0,0.0,events/second
1775393281,311,0.29121759145845494,0.0,0.0,0.0,events/second
1775393311,315,0.286896964780392,0.0,0.0,0.0,events/second
1775393341,320,0.2836934145464422,0.0,0.0,0.0,events/second
1775393371,324,0.2797906166367878,0.0,0.0,0.0,events/second
1775393401,328,0.27608693562125547,0.0,0.0,0.0,events/second
1775393431,332,0.2725678313008972,0.0,0.0,0.0,events/second
1775393461,336,0.2692183963372549,0.0,0.0,0.0,events/second
1775393491,340,0.26602587353671836,0.0,0.0,0.0,events/second
1775393521,344,0.26296897243167705,0.0,0.0,0.0,events/second
1775393552,348,0.2600591094059112,0.0,0.0,0.0,events/second
1775393582,352,0.257262029250764,0.0,0.0,0.0,events/second
1775393612,356,0.25460134211466906,0.0,0.0,0.0,events/second
1775393642,361,0.2527526998629963,0.0,0.0,0.0,events/second
1775393672,365,0.25029157181789263,0.0,0.0,0.0,events/second
1775393702,369,0.24793072290177123,0.0,0.0,0.0,events/second
1775393732,373,0.24566319565903724,0.0,0.0,0.0,events/second
1775393762,377,0.24348489999038891,0.0,0.0,0.0,events/second
1775393792,381,0.24137786811807324,0.0,0.0,0.0,events/second
1775393822,385,0.23936117610187738,0.0,0.0,0.0,events/second
1775393852,389,0.23741846616384873,0.0,0.0,0.0,events/second
1775393882,393,0.23554335167665025,0.0,0.0,0.0,events/second
1775393912,397,0.23373490782465234,0.0,0.0,0.0,events/second
1775393942,402,0.2325652528349582,0.0,0.0,0.0,events/second
1775393972,406,0.23087121265965097,0.0,0.0,0.0,events/second
1775394002,410,0.2292329303868832,0.0,0.0,0.0,events/second
1775394032,414,0.22764992483972493,0.0,0.0,0.0,events/second
1775394062,418,0.22611686739266726,0.0,0.0,0.0,events/second
1775394092,422,0.22463417161924734,0.0,0.0,0.0,events/second
1775394122,425,0.22267360868550964,0.0,0.0,0.0,events/second
1775394152,426,0.21974033776484053,0.0,0.0,0.0,events/second
1775394182,430,0.2184207925797031,0.0,0.0,0.0,events/second
1775394212,434,0.2171422999720118,0.0,0.0,0.0,events/second
1775394242,438,0.21590159821508056,0.0,0.0,0.0,events/second
1775394272,443,0.21518220009129801,0.0,0.0,0.0,events/second
1775394302,447,0.2140045208398534,0.0,0.0,0.0,events/second
1775394332,451,0.21286016686423948,0.0,0.0,0.0,events/second
1775394362,455,0.21174801425204345,0.0,0.0,0.0,events/second
1775394392,459,0.21066746288331759,0.0,0.0,0.0,events/second
1775394422,463,0.2096141334305724,0.0,0.0,0.0,events/second
1775394452,615,0.27469712630728993,0.0,0.0,0.0,events/second
1775394482,2958,1.3037429302422348,0.0,0.0,0.0,events/second
1775394512,2966,1.2901988735494092,0.0,0.0,0.0,events/second
1775394542,2970,1.2752795103077068,0.0,0.0,0.0,events/second
1775394572,2979,1.2628706386886754,0.0,0.0,0.0,events/second
1775394602,2987,1.2503501117926878,0.0,0.0,0.0,events/second
1775394632,2991,1.2364848933218404,0.0,0.0,0.0,events/second
1775394662,2995,1.2229536061896118,0.0,0.0,0.0,events/second
1775394692,2999,1.2097515443371154,0.0,0.0,0.0,events/second
1775394722,3003,1.19687136166463,0.0,0.0,0.0,events/second
1775394752,3007,1.1842996528867225,0.0,0.0,0.0,events/second
1775394782,3016,1.173965965460522,0.0,0.0,0.0,events/second
1775394812,3020,1.161947246735619,0.0,0.0,0.0,events/second
1775394842,3024,1.1502000770942142,0.0,0.0,0.0,events/second
