t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,2362,140.5717274738181,0.0,0.0,0.0,events/second
1775392260,2443,52.140474805505946,0.0,0.0,0.0,events/second
1775392290,2826,36.75675351986203,0.0,0.0,0.0,events/second
1775392320,2907,27.18735085447894,0.0,0.0,0.0,events/second
1775392350,3290,24.023970624265665,0.0,0.0,0.0,events/second
1775392380,3371,20.1850967141305,0.0,0.0,0.0,events/second
1775392410,3802,19.278330660080776,0.0,0.0,0.0,events/second
1775392440,4758,20.933374006905424,0.0,0.0,0.0,events/second
1775392470,5178,20.121917454322798,0.0,0.0,0.0,events/second
1775392500,5273,18.345743477291723,0.0,0.0,0.0,events/second
1775392530,5675,17.875367018807417,0.0,0.0,0.0,events/second
1775392561,5770,16.604274555866244,0.0,0.0,0.0,events/second
1775392591,6172,16.34861958295589,0.0,0.0,0.0,events/second
1775392621,6267,15.376296908205468,0.0,0.0,0.0,events/second
1775392651,6669,15.239899177982414,0.0,0.0,0.0,events/second
1775392681,6769,14.475494721117688,0.0,0.0,0.0,events/second
1775392711,8017,16.11006708742144,0.0,0.0,0.0,events/second
1775392741,8114,15.377001094039516,0.0,0.0,0.0,events/second
1775392771,8516,15.266357500279916,0.0,0.0,0.0,events/second
1775392801,8611,14.64828639246694,0.0,0.0,0.0,events/second
1775392831,9037,14.626049611899512,0.0,0.0,0.0,events/second
1775392861,9132,14.095116560306497,0.0,0.0,0.0,events/second
1775392891,9508,14.02570170923829,0.0,0.0,0.0,events/second
1775392921,9603,13.565189271492253,0.0,0.0,0.0,events/second
1775392951,10006,13.559566452184328,0.0,0.0,0.0,events/second
1775392981,10101,13.152905856900498,0.0,0.0,0.0,events/second
1775393011,10545,13.214320235455382,0.0,0.0,0.0,events/second
1775393041,10640,12.849881018271832,0.0,0.0,0.0,events/second
1775393071,11043,12.869675516178955,0.0,0.0,0.0,events/second
1775393101,11138,12.541189140486408,0.0,0.0,0.0,events/second
1775393131,11851,12.907643447869608,0.0,0.0,0.0,events/second
1775393161,11946,12.59927771258135,0.0,0.0,0.0,events/second
1775393191,12354,12.629707635410128,0.0,0.0,0.0,events/second
1775393221,12449,12.3478839941669,0.0,0.0,0.0,events/second
1775393251,12871,12.39719109046384,0.0,0.0,0.0,events/second
1775393281,12966,12.137515793816053,0.0,0.0,0.0,events/second
1775393311,13388,12.189933190459803,0.0,0.0,0.0,events/second
1775393341,13483,11.949768257615956,0.0,0.0,0.0,events/second
1775393371,13905,12.004278935197643,0.0,0.0,0.0,events/second
1775393401,14000,11.780944419342058,0.0,0.0,0.0,events/second
1775393431,14422,11.837091962605315,0.0,0.0,0.0,events/second
1775393461,14517,11.628619465362931,0.0,0.0,0.0,events/second
1775393491,14939,11.685707072700895,0.0,0.0,0.0,events/second
1775393521,15034,11.489778913929399,0.0,0.0,0.0,events/second
1775393552,15456,11.547379784210058,0.0,0.0,0.0,events/second
1775393582,15551,11.362847895474097,0.0,0.0,0.0,events/second
1775393612,15973,11.420767052191737,0.0,0.0,0.0,events/second
1775393642,16109,11.27606035699315,0.0,0.0,0.0,events/second
1775393672,16531,11.333257867451476,0.0,0.0,0.0,events/second
1775393702,16626,11.168529922625748,0.0,0.0,0.0,events/second
1775393732,17048,11.225632915836448,0.0,0.0,0.0,events/second
1775393762,17143,11.069435568310343,0.0,0.0,0.0,events/second
1775393792,17565,11.125776735802045,0.0,0.0,0.0,events/second
1775393822,17660,10.977288700839685,0.0,0.0,0.0,events/second
1775393852,18082,11.03378171055539,0.0,0.0,0.0,events/second
1775393882,18177,10.892187163527154,0.0,0.0,0.0,events/second
1775393912,18599,10.948100367097853,0.0,0.0,0.0,events/second
1775393942,18694,10.812809880777921,0.0,0.0,0.0,events/second
1775393972,19116,10.86825298179036,0.0,0.0,0.0,events/second
1775394002,19211,10.738990149736555,0.0,0.0,0.0,events/second
1775394032,19633,10.793827675768606,0.0,0.0,0.0,events/second
1775394062,19701,10.655353551972398,0.0,0.0,0.0,events/second
1775394092,20123,10.709772497957616,0.0,0.0,0.0,events/second
1775394122,20204,10.583821708024342,0.0,0.0,0.0,events/second
1775394152,20626,10.637526672999236,0.0,0.0,0.0,events/second
1775394182,20721,10.523588319715124,0.0,0.0,0.0,events/second
1775394212,21143,10.576695895991499,0.0,0.0,0.0,events/second
1775394242,21238,10.467069192750644,0.0,0.0,0.0,events/second
1775394272,21701,10.53933346579072,0.0,0.0,0.0,events/second
1775394302,21796,10.43335539207747,0.0,0.0,0.0,events/second
1775394332,22218,10.484689225171337,0.0,0.0,0.0,events/second
1775394362,22313,10.382443900065516,0.0,0.0,0.0,events/second
1775394392,22735,10.433123167946498,0.0,0.0,0.0,events/second
1775394422,22830,10.334297665984966,0.0,0.0,0.0,events/second
1775394452,24092,10.759403737791358,0.0,0.0,0.0,events/second
1775394482,43793,19.29903914827203,0.0,0.0,0.0,events/second
1775394512,44244,19.243227206472955,0.0,0.0,0.0,events/second
1775394542,44339,19.035909807970096,0.0,0.0,0.0,events/second
1775394572,44789,18.984506784195858,0.0,0.0,0.0,events/second
1775394602,44897,18.791181411678068,0.0,0.0,0.0,events/second
1775394632,45346,18.74357694734397,0.0,0.0,0.0,events/second
1775394662,45441,18.5525173966422,0.0,0.0,0.0,events/second
1775394692,45890,18.508886296337923,0.0,0.0,0.0,events/second
1775394722,45985,18.3253188066602,0.0,0.0,0.0,events/second
1775394752,46434,18.285554966829523,0.0,0.0,0.0,events/second
1775394782,46530,18.10930355151587,0.0,0.0,0.0,events/second
