t,value
1775392230,0
1775392260,0
1775392290,0
1775392320,0
1775392350,0
1775392380,12582840
1775392410,33555784
1775392440,100675800
1775392470,100675992
1775392500,100675992
1775392530,100675984
1775392561,100675928
1775392591,100675896
1775392621,100675800
1775392651,100676832
1775392681,100676840
1775392711,100677224
1775392741,100677288
1775392771,100677352
1775392801,100677416
1775392831,100677544
1775392861,100677608
1775392891,100677608
1775392921,100677672
1775392951,100677736
1775392981,100677736
1775393011,100677800
1775393041,100677864
1775393071,100677864
1775393101,100677928
1775393131,100677928
1775393161,100677992
1775393191,100677992
1775393221,100678056
1775393251,100678056
1775393281,100678120
1775393311,100678184
1775393341,100678184
1775393371,100678248
1775393401,100678248
1775393431,100678312
1775393461,100678376
1775393491,100678376
1775393521,100678440
1775393552,100678504
1775393582,100678504
1775393612,100678568
1775393642,100678568
1775393672,100678632
1775393702,100678696
1775393732,100678696
1775393762,100678760
1775393792,100678824
1775393822,100678824
1775393852,100678888
1775393882,100678888
1775393912,100678952
1775393942,100679016
1775393972,100679016
1775394002,100679080
1775394032,100679144
1775394062,100679144
1775394092,100679208
1775394122,100679208
1775394152,100679208
1775394182,100679272
1775394212,100679336
1775394242,100679336
1775394272,100679400
1775394302,100679464
1775394332,100679464
1775394362,100679528
1775394392,100679528
1775394422,100679592
1775394452,100682472
1775394482,100729320
1775394512,100729384
1775394542,100729384
1775394572,100729512
1775394602,100729576
1775394632,100729640
1775394662,100729640
1775394692,100729704
1775394722,100729704
1775394752,100729768
1775394782,100729760
1775394812,100729704
1775394842,100729672
