t,value
1775392230,0
1775392260,0
1775392290,0
1775392320,0
1775392350,0
1775392380,-72
1775392410,1352
1775392440,12504
1775392470,12696
1775392500,12696
1775392530,12688
1775392561,12632
1775392591,12600
1775392621,12504
1775392651,13536
1775392681,13544
1775392711,13928
1775392741,13992
1775392771,14056
1775392801,14120
1775392831,14248
1775392861,14312
1775392891,14312
1775392921,14376
1775392951,14440
1775392981,14440
1775393011,14504
1775393041,14568
1775393071,14568
1775393101,14632
1775393131,14632
1775393161,14696
1775393191,14696
1775393221,14760
1775393251,14760
1775393281,14824
1775393311,14888
1775393341,14888
1775393371,14952
1775393401,14952
1775393431,15016
1775393461,15080
1775393491,15080
1775393521,15144
1775393552,15208
1775393582,15208
1775393612,15272
1775393642,15272
1775393672,15336
1775393702,15400
1775393732,15400
1775393762,15464
1775393792,15528
1775393822,15528
1775393852,15592
1775393882,15592
1775393912,15656
1775393942,15720
1775393972,15720
1775394002,15784
1775394032,15848
1775394062,15848
1775394092,15912
1775394122,15912
1775394152,15912
1775394182,15976
1775394212,16040
1775394242,16040
1775394272,16104
1775394302,16168
1775394332,16168
1775394362,16232
1775394392,16232
1775394422,16296
1775394452,19176
1775394482,66024
1775394512,66088
1775394542,66088
1775394572,66216
1775394602,66280
1775394632,66344
1775394662,66344
1775394692,66408
1775394722,66408
1775394752,66472
1775394782,66464
1775394812,66408
1775394842,66376
