t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,82,4.985419138565658,0.0,0.0,0.0,events/second
1775392260,82,1.7635729044177209,0.0,0.0,0.0,events/second
1775392290,82,1.0715273698922816,0.0,0.0,0.0,events/second
1775392320,82,0.7694689010881218,0.0,0.0,0.0,events/second
1775392350,82,0.600342089858141,0.0,0.0,0.0,events/second
1775392380,82,0.49205786590661904,0.0,0.0,0.0,events/second
1775392410,82,0.416538885743851,0.0,0.0,0.0,events/second
1775392440,127,0.5596312185027927,0.0,0.0,0.0,events/second
1775392470,127,0.4942137208510179,0.0,0.0,0.0,events/second
1775392500,127,0.44240546939625436,0.0,0.0,0.0,events/second
1775392530,127,0.40048154013908654,0.0,0.0,0.0,events/second
1775392561,127,0.36584336293008823,0.0,0.0,0.0,events/second
1775392591,127,0.33672107755462094,0.0,0.0,0.0,events/second
1775392621,127,0.3118725370890099,0.0,0.0,0.0,events/second
1775392651,127,0.2904559949260164,0.0,0.0,0.0,events/second
1775392681,127,0.2717972414014745,0.0,0.0,0.0,events/second
1775392711,127,0.25538863032034614,0.0,0.0,0.0,events/second
1775392741,127,0.24084351372512888,0.0,0.0,0.0,events/second
1775392771,127,0.2278148795984504,0.0,0.0,0.0,events/second
1775392801,127,0.2161729586592703,0.0,0.0,0.0,events/second
1775392831,127,0.2056638941569988,0.0,0.0,0.0,events/second
1775392861,127,0.1961310679608547,0.0,0.0,0.0,events/second
1775392891,127,0.18744265412463565,0.0,0.0,0.0,events/second
1775392921,127,0.17949080305244,0.0,0.0,0.0,events/second
1775392951,127,0.17218672360319953,0.0,0.0,0.0,events/second
1775392981,127,0.16544765811392653,0.0,0.0,0.0,events/second
1775393011,127,0.15921967421569255,0.0,0.0,0.0,events/second
1775393041,127,0.15344364351033568,0.0,0.0,0.0,events/second
1775393071,127,0.14806936828336337,0.0,0.0,0.0,events/second
1775393101,127,0.14305736904050492,0.0,0.0,0.0,events/second
1775393131,127,0.13837733652277842,0.0,0.0,0.0,events/second
1775393161,127,0.133995672903479,0.0,0.0,0.0,events/second
