t,value
1775392230,112197632
1775392260,115343360
1775392290,121634816
1775392320,123731968
1775392350,127926272
1775392380,148897792
1775392410,270532608
1775392440,131980736
1775392470,154000832
1775392500,156097984
1775392530,162389440
1775392561,165535168
1775392591,170778048
1775392621,172875200
1775392651,181263808
1775392681,186506688
1775392711,235789760
1775392741,263052736
1775392771,268295616
1775392801,270392768
1775392831,315481536
1775392861,317578688
1775392891,322821568
1775392921,323870144
1775392951,329113024
1775392981,331210176
1775393011,336453056
1775393041,337501632
1775393071,341695936
1775393101,343793088
1775393131,373153216
1775393161,374201792
1775393191,378396096
1775393221,380493248
1775393251,384687552
1775393281,387833280
1775393311,392027584
1775393341,394124736
1775393371,398319040
1775393401,400416192
1775393431,99755112
1775393461,101852264
1775393491,106046568
1775393521,108143720
1775393552,112338024
1775393582,114435176
1775393612,119678056
1775393642,121775208
1775393672,125969512
1775393702,128066664
1775393732,131212392
1775393762,134358120
1775393792,137503848
1775393822,140649576
1775393852,144843880
1775393882,146941032
1775393912,151135336
1775393942,152183912
1775393972,157426792
1775394002,158475368
1775394032,164766824
1775394062,165815400
1775394092,170009704
1775394122,172106856
1775394152,176301160
1775394182,178398312
1775394212,182592616
1775394242,184689768
1775394272,189932648
1775394302,192029800
1775394332,196224104
1775394362,197272680
1775394392,202515560
1775394422,203564136
1775394452,178736776
1775394482,135316304
1775394512,144753488
1775394542,146850640
1775394572,149996368
1775394602,161530704
1775394632,167822160
1775394662,169919312
1775394692,173065040
1775394722,176210768
1775394752,179356496
1775394782,181453648
1775394812,186696528
1775394842,188793680
