t,value
1775392230,1
1775392260,1
1775392290,1
1775392320,1
1775392350,1
1775392380,1681
1775392410,2801
1775392440,2801
1775392470,2801
1775392500,2801
1775392530,3361
1775392561,3921
1775392591,3921
1775392621,3921
1775392651,3921
1775392681,3921
1775392711,3921
1775392741,3921
1775392771,3921
1775392801,3921
1775392831,20321
1775392861,20321
1775392891,20321
1775392921,20321
1775392951,20321
1775392981,20321
1775393011,20321
1775393041,20321
1775393071,20321
1775393101,20321
1775393131,20321
1775393161,20321
1775393191,20321
1775393221,20321
1775393251,20321
1775393281,20321
1775393311,20321
1775393341,20321
1775393371,20321
1775393401,20321
1775393431,20321
1775393461,20321
1775393491,20321
1775393521,20321
1775393552,20321
1775393582,20321
1775393612,20321
1775393642,20321
1775393672,20321
1775393702,20321
1775393732,20321
1775393762,20321
1775393792,20321
1775393822,20321
1775393852,20321
1775393882,20321
1775393912,20321
1775393942,20321
1775393972,20321
1775394002,20321
1775394032,20321
1775394062,20321
1775394092,20321
1775394122,20321
1775394152,20321
1775394182,20321
1775394212,20321
1775394242,20321
1775394272,20321
1775394302,20321
1775394332,20321
1775394362,20321
1775394392,20321
1775394422,20321
1775394452,3937
1775394482,3937
1775394512,3937
1775394542,3937
1775394572,3937
1775394602,3937
1775394632,3937
1775394662,3937
1775394692,3937
1775394722,3937
1775394752,3937
1775394782,5057
1775394812,5057
1775394842,5057
