t,value
1775392230,48234496
1775392260,51380224
1775392290,57671680
1775392320,59768832
1775392350,63963136
1775392380,84934656
1775392410,206569472
1775392440,44040192
1775392470,66060288
1775392500,68157440
1775392530,74448896
1775392561,77594624
1775392591,82837504
1775392621,84934656
1775392651,93323264
1775392681,98566144
1775392711,147849216
1775392741,175112192
1775392771,180355072
1775392801,182452224
1775392831,227540992
1775392861,229638144
1775392891,234881024
1775392921,235929600
1775392951,241172480
1775392981,243269632
1775393011,248512512
1775393041,249561088
1775393071,253755392
1775393101,255852544
1775393131,285212672
1775393161,286261248
1775393191,290455552
1775393221,292552704
1775393251,296747008
1775393281,299892736
1775393311,304087040
1775393341,306184192
1775393371,310378496
1775393401,312475648
1775393431,7340032
1775393461,9437184
1775393491,13631488
1775393521,15728640
1775393552,19922944
1775393582,22020096
1775393612,27262976
1775393642,29360128
1775393672,33554432
1775393702,35651584
1775393732,38797312
1775393762,41943040
1775393792,45088768
1775393822,48234496
1775393852,52428800
1775393882,54525952
1775393912,58720256
1775393942,59768832
1775393972,65011712
1775394002,66060288
1775394032,72351744
1775394062,73400320
1775394092,77594624
1775394122,79691776
1775394152,83886080
1775394182,85983232
1775394212,90177536
1775394242,92274688
1775394272,97517568
1775394302,99614720
1775394332,103809024
1775394362,104857600
1775394392,110100480
1775394422,111149056
1775394452,85983232
1775394482,39845888
1775394512,49283072
1775394542,51380224
1775394572,54525952
1775394602,66060288
1775394632,72351744
1775394662,74448896
1775394692,77594624
1775394722,80740352
1775394752,83886080
1775394782,85983232
1775394812,91226112
1775394842,93323264
