t,value
1775392230,54525952
1775392260,54525952
1775392290,54525952
1775392320,54525952
1775392350,54525952
1775392380,54525952
1775392410,54525952
1775392440,80600512
1775392470,80600512
1775392500,80600512
1775392530,80600512
1775392561,80600512
1775392591,80600512
1775392621,80600512
1775392651,80600512
1775392681,80600512
1775392711,80600512
1775392741,80600512
1775392771,80600512
1775392801,80600512
1775392831,80600512
1775392861,80600512
1775392891,80600512
1775392921,80600512
1775392951,80600512
1775392981,80600512
1775393011,80600512
1775393041,80600512
1775393071,80600512
1775393101,80600512
1775393131,80600512
1775393161,80600512
1775393191,80600512
1775393221,80600512
1775393251,80600512
1775393281,80600512
1775393311,80600512
1775393341,80600512
1775393371,80600512
1775393401,80600512
1775393431,80600512
1775393461,80600512
1775393491,80600512
1775393521,80600512
1775393552,80600512
1775393582,80600512
1775393612,80600512
1775393642,80600512
1775393672,80600512
1775393702,80600512
1775393732,80600512
1775393762,80600512
1775393792,80600512
1775393822,80600512
1775393852,80600512
1775393882,80600512
1775393912,80600512
1775393942,80600512
1775393972,80600512
1775394002,80600512
1775394032,80600512
1775394062,80600512
1775394092,80600512
1775394122,80600512
1775394152,80600512
1775394182,80600512
1775394212,80600512
1775394242,80600512
1775394272,80600512
1775394302,80600512
1775394332,80600512
1775394362,80600512
1775394392,80600512
1775394422,80600512
1775394452,80600512
1775394482,78959328
1775394512,78959328
1775394542,78959328
1775394572,78959328
1775394602,78959328
1775394632,78959328
1775394662,78959328
1775394692,78959328
1775394722,78959328
1775394752,78959328
1775394782,78959328
1775394812,78959328
1775394842,78959328
