t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,206,1.0451597548248013,0.0,0.0,0.0,events/second
1775392440,206,0.9067888032185396,0.0,0.0,0.0,events/second
1775392470,561,2.181077622306185,0.0,0.0,0.0,events/second
1775392500,561,1.952619580078982,0.0,0.0,0.0,events/second
1775392530,561,1.767727530363606,0.0,0.0,0.0,events/second
1775392561,561,1.6149366284430444,0.0,0.0,0.0,events/second
1775392591,561,1.4864664881161984,0.0,0.0,0.0,events/second
1775392621,561,1.3768357323823075,0.0,0.0,0.0,events/second
1775392651,561,1.2823391088344636,0.0,0.0,0.0,events/second
1775392681,561,1.200002373052821,0.0,0.0,0.0,events/second
1775392711,561,1.127593749935254,0.0,0.0,0.0,events/second
1775392741,561,1.0634030638346368,0.0,0.0,0.0,events/second
1775392771,561,1.0059018641750426,0.0,0.0,0.0,events/second
1775392801,561,0.9545185981182991,0.0,0.0,0.0,events/second
1775392831,561,0.9081334208040321,0.0,0.0,0.0,events/second
1775392861,561,0.866055541237937,0.0,0.0,0.0,events/second
1775392891,561,0.8277035475728147,0.0,0.0,0.0,events/second
1775392921,561,0.7926018901262044,0.0,0.0,0.0,events/second
1775392951,561,0.7603587279175116,0.0,0.0,0.0,events/second
1775392981,561,0.7306089355895162,0.0,0.0,0.0,events/second
1775393011,561,0.7031146225381174,0.0,0.0,0.0,events/second
1775393041,561,0.6776150289369284,0.0,0.0,0.0,events/second
1775393071,561,0.6538882769021717,0.0,0.0,0.0,events/second
1775393101,561,0.6317610291830051,0.0,0.0,0.0,events/second
1775393131,561,0.6110987251784201,0.0,0.0,0.0,events/second
1775393161,561,0.5917533573002521,0.0,0.0,0.0,events/second
1775393191,561,0.5735900791685683,0.0,0.0,0.0,events/second
1775393221,561,0.5565092318910256,0.0,0.0,0.0,events/second
1775393251,561,0.5404106305321073,0.0,0.0,0.0,events/second
1775393281,561,0.5252127459328718,0.0,0.0,0.0,events/second
1775393311,561,0.5108527809905088,0.0,0.0,0.0,events/second
1775393341,561,0.49725804305504545,0.0,0.0,0.0,events/second
1775393371,561,0.48436500927287285,0.0,0.0,0.0,events/second
1775393401,561,0.4721267627610426,0.0,0.0,0.0,events/second
1775393431,561,0.46049509830228186,0.0,0.0,0.0,events/second
1775393461,561,0.4494224225505803,0.0,0.0,0.0,events/second
1775393491,561,0.43887099884806263,0.0,0.0,0.0,events/second
1775393521,561,0.428785002646985,0.0,0.0,0.0,events/second
1775393552,561,0.4191678529823613,0.0,0.0,0.0,events/second
1775393582,561,0.4099486939790165,0.0,0.0,0.0,events/second
1775393612,561,0.4011518130568321,0.0,0.0,0.0,events/second
1775393642,561,0.3927244911946827,0.0,0.0,0.0,events/second
1775393672,561,0.38463962157911663,0.0,0.0,0.0,events/second
1775393702,561,0.37688249546552216,0.0,0.0,0.0,events/second
1775393732,561,0.36943188071299815,0.0,0.0,0.0,events/second
1775393762,561,0.3622722238964408,0.0,0.0,0.0,events/second
1775393792,561,0.3553676341888476,0.0,0.0,0.0,events/second
1775393822,561,0.34873819291856334,0.0,0.0,0.0,events/second
1775393852,561,0.3423516753852659,0.0,0.0,0.0,events/second
1775393882,561,0.3361915605301965,0.0,0.0,0.0,events/second
1775393912,561,0.33024961005675746,0.0,0.0,0.0,events/second
1775393942,561,0.32451075527014267,0.0,0.0,0.0,events/second
1775393972,561,0.31897385779261495,0.0,0.0,0.0,events/second
1775394002,561,0.3136211334287485,0.0,0.0,0.0,events/second
1775394032,561,0.30844676780967356,0.0,0.0,0.0,events/second
1775394062,561,0.30343839955150237,0.0,0.0,0.0,events/second
1775394092,561,0.29859189375287054,0.0,0.0,0.0,events/second
1775394122,561,0.2938970206270631,0.0,0.0,0.0,events/second
1775394152,561,0.2893444966256109,0.0,0.0,0.0,events/second
1775394182,561,0.2849327460722213,0.0,0.0,0.0,events/second
1775394212,870,0.435239804292591,0.0,0.0,0.0,events/second
1775394242,870,0.4288015172342244,0.0,0.0,0.0,events/second
1775394272,870,0.4225497712984114,0.0,0.0,0.0,events/second
1775394302,870,0.41647727605881896,0.0,0.0,0.0,events/second
1775394332,870,0.4105767529602901,0.0,0.0,0.0,events/second
1775394362,870,0.4048414928046936,0.0,0.0,0.0,events/second
1775394392,870,0.39926611825506625,0.0,0.0,0.0,events/second
1775394422,870,0.39383817124800047,0.0,0.0,0.0,events/second
1775394452,1115,0.49798169755334815,0.0,0.0,0.0,events/second
1775394482,1396,0.6152325374137939,0.0,0.0,0.0,events/second
1775394512,1396,0.6071996686688522,0.0,0.0,0.0,events/second
1775394542,1396,0.5993706263913585,0.0,0.0,0.0,events/second
1775394572,1609,0.682033968884346,0.0,0.0,0.0,events/second
1775394602,1833,0.7672218436031953,0.0,0.0,0.0,events/second
1775394632,1833,0.757700220725453,0.0,0.0,0.0,events/second
1775394662,1833,0.7484083655023399,0.0,0.0,0.0,events/second
1775394692,1833,0.7393424407022469,0.0,0.0,0.0,events/second
1775394722,1833,0.7304971182352569,0.0,0.0,0.0,events/second
1775394752,1833,0.7218632959775932,0.0,0.0,0.0,events/second
1775394782,1833,0.7134299967062081,0.0,0.0,0.0,events/second
1775394812,1833,0.705191484847907,0.0,0.0,0.0,events/second
1775394842,1833,0.6971392923292629,0.0,0.0,0.0,events/second
