t,value
1775392230,106
1775392260,106
1775392290,71
1775392320,71
1775392350,71
1775392380,77
1775392410,86
1775392440,102
1775392470,102
1775392500,100
1775392530,101
1775392561,104
1775392591,101
1775392621,101
1775392651,102
1775392681,103
1775392711,102
1775392741,102
1775392771,101
1775392801,100
1775392831,111
1775392861,110
1775392891,106
1775392921,107
1775392951,105
1775392981,104
1775393011,103
1775393041,103
1775393071,102
1775393101,102
1775393131,102
1775393161,102
1775393191,102
1775393221,101
1775393251,100
1775393281,101
1775393311,101
1775393341,100
1775393371,101
1775393401,101
1775393431,101
1775393461,101
1775393491,100
1775393521,100
1775393552,101
1775393582,101
1775393612,101
1775393642,101
1775393672,102
1775393702,101
1775393732,101
1775393762,100
1775393792,100
1775393822,100
1775393852,100
1775393882,100
1775393912,100
1775393942,100
1775393972,101
1775394002,101
1775394032,100
1775394062,100
1775394092,100
1775394122,101
1775394152,101
1775394182,101
1775394212,100
1775394242,101
1775394272,102
1775394302,102
1775394332,101
1775394362,100
1775394392,100
1775394422,100
1775394452,107
1775394482,109
1775394512,108
1775394542,106
1775394572,103
1775394602,103
1775394632,104
1775394662,102
1775394692,101
1775394722,100
1775394752,100
1775394782,101
1775394812,101
1775394842,100
